221,1,77.55,315.74,6.82,4.70,0.62,-1,-1,-1
241,1,112.46,308.38,7.54,5.18,0.59,-1,-1,-1
261,1,172.06,302.64,8.02,3.97,0.67,-1,-1,-1
281,1,201.02,301.25,6.91,4.12,0.63,-1,-1,-1
301,1,219.45,301.39,6.60,4.04,0.51,-1,-1,-1
321,1,249.72,301.23,7.55,4.73,0.67,-1,-1,-1
341,1,255.13,302.11,6.84,4.23,0.64,-1,-1,-1
361,1,254.73,306.87,7.68,6.29,0.70,-1,-1,-1
381,1,254.26,327.05,7.59,4.62,0.71,-1,-1,-1
401,1,254.53,352.48,5.74,3.71,0.53,-1,-1,-1
421,1,315.77,298.63,7.76,3.88,0.52,-1,-1,-1
441,1,312.81,288.90,5.37,3.64,0.58,-1,-1,-1
461,1,311.31,264.20,5.37,3.83,0.43,-1,-1,-1
481,1,312.19,241.58,6.20,3.92,0.59,-1,-1,-1
501,1,314.35,234.39,4.46,2.98,0.48,-1,-1,-1
521,1,333.28,232.86,5.77,3.48,0.54,-1,-1,-1
541,1,345.23,226.94,3.71,3.24,0.52,-1,-1,-1
561,1,343.54,215.62,5.89,3.80,0.45,-1,-1,-1
581,1,415.38,254.62,5.23,3.53,0.55,-1,-1,-1
601,1,347.83,199.80,3.73,3.18,0.52,-1,-1,-1
621,1,347.64,203.14,4.30,3.92,0.52,-1,-1,-1
621,2,139.91,345.31,6.86,5.21,0.68,-1,-1,-1
641,1,346.14,217.28,4.23,3.91,0.54,-1,-1,-1
641,2,137.19,338.59,5.94,3.40,0.57,-1,-1,-1
661,2,127.85,327.98,5.65,3.29,0.54,-1,-1,-1
661,1,343.34,220.72,5.44,3.77,0.45,-1,-1,-1
681,2,113.31,310.42,8.38,6.15,0.72,-1,-1,-1
681,1,340.41,210.06,7.08,3.84,0.56,-1,-1,-1
701,2,111.75,308.25,7.39,5.24,0.69,-1,-1,-1
701,1,343.57,215.08,4.71,3.55,0.39,-1,-1,-1
721,2,110.95,304.47,5.73,3.82,0.55,-1,-1,-1
721,1,344.35,231.07,7.12,5.03,0.48,-1,-1,-1
741,2,106.70,287.10,7.86,4.54,0.62,-1,-1,-1
741,1,339.15,239.59,5.72,4.50,0.47,-1,-1,-1
761,2,137.74,268.51,8.15,5.52,0.71,-1,-1,-1
761,1,313.78,247.05,3.95,3.66,0.40,-1,-1,-1
781,2,205.84,253.31,8.53,4.51,0.69,-1,-1,-1
781,1,290.45,260.44,5.61,5.20,0.49,-1,-1,-1
801,2,273.80,236.20,8.24,6.46,0.78,-1,-1,-1
